Friendly Name,Tier,Required Biome,Codex Hint 1,Codex Hint 2,Unlock text,Assets Folder
Bamboo Chime,2,,"A row of golden stalks sways together, singing one unbroken note.",,"A row of golden stalks sways together, singing one unbroken note.",
Barren Expanse,1,Meadow,"A vast plain of bare earth, untouched by water.",,"A vast plain of bare earth, untouched by water.",
Boreal Forest,1,Meadow,Forest and frost interweave in a dance older than memory.,,Forest and frost interweave in a dance older than memory.,
Bridge of Sighs,2,,"Stone arches over still water. Beneath it, all crossings are felt.",,"Stone arches over still water. Beneath it, all crossings are felt.",
The Deep Stand,1,Stone,"Ancient trees tower in silence, forming a cathedral of leaves.",,"Ancient trees tower in silence, forming a cathedral of leaves.",
Echoing Cavern,2,,The ring of stone amplifies every sound into a whisper of the deep.,,The ring of stone amplifies every sound into a whisper of the deep.,
Eternal Kagura Hall,2,Ember Shrine,Sacred embers glow where ritual dance and flame endure.,,Sacred embers glow where ritual dance and flame endure.,
Floating Pavilion,2,,"Adrift on open water, untethered to the earth below.",,"Adrift on open water, untethered to the earth below.",
The Glade,1,,A quiet clearing where sunlight touches the earth.,,A quiet clearing where sunlight touches the earth.,
Great Reef,1,River,"Stone formations rise from deep water, a hidden kingdom beneath the surface.",,"Stone formations rise from deep water, a hidden kingdom beneath the surface.",
Great Torii,3,Cloud Ridge,A sacred gate that grants an immediate surge of Satori.,,A sacred gate that grants an immediate surge of Satori.,
Heavenwind Torii,3,Cloud Ridge,A gate to the open sky where every current is prayer.,,A gate to the open sky where every current is prayer.,
Iwakura Sanctum,2,Sacred Stone,Consecrated stone rises in still reverence to the mountain kami.,,Consecrated stone rises in still reverence to the mountain kami.,
Lotus Pagoda,2,Wetlands,A tower of mist and memory rises where marsh meets sky.,,A tower of mist and memory rises where marsh meets sky.,
Lotus Pond,1,,"Still waters cradled in earth, crowned by the forest above.",,"Still waters cradled in earth, crowned by the forest above.",
Mirror Archipelago,1,River,Islands of earth and water reflect one another like scattered mirrors.,,Islands of earth and water reflect one another like scattered mirrors.,
Misogi Spring Shrine,2,Moonlit Pool,Purifying waters gather in quiet rites beneath drifting mist.,,Purifying waters gather in quiet rites beneath drifting mist.,
Monk's Rest,2,,"Surrounded by ancient trees, a single patch of earth finds peace.",,"Surrounded by ancient trees, a single patch of earth finds peace.",
The Mountain Peak,1,Stone,Stone piled upon stone until the sky itself is reached.,,Stone piled upon stone until the sky itself is reached.,
Obsidian Expanse,1,The Ashfall,Dark canyon stone meets the water's edge in volcanic silence.,,Dark canyon stone meets the water's edge in volcanic silence.,
Origin Shrine,2,,"At the heart of the world, stone and water remember the first breath.",,"At the heart of the world, stone and water remember the first breath.",assets/structures/origin_shrine
Pagoda of the Five,3,Moonlit Pool,A monument that harmonizes all elements and shelters wandering souls.,,A monument that harmonizes all elements and shelters wandering souls.,
The Peat Bog,1,Wetlands,"Swampland stretches endlessly, preserving secrets in its dark embrace.",,"Swampland stretches endlessly, preserving secrets in its dark embrace.",
The River,1,River,Water carves an ancient path through the land.,,Water carves an ancient path through the land.,
Star-Gazing Deck,2,Ember Field,"Atop the highest stone, a silence so deep the stars seem close enough to touch.",,"Atop the highest stone, a silence so deep the stars seem close enough to touch.",
Sun-Dial,2,Ember Field,Earth circles stone and time is measured in shadows and seasons.,,Earth circles stone and time is measured in shadows and seasons.,
Void Mirror,3,River,A still mirror that amplifies spirit resonance across its island.,,A still mirror that amplifies spirit resonance across its island.,
The Waterfall,1,River,River meets mountain and leaps into the void.,,River meets mountain and leaps into the void.,
Wayfarer Torii,1,,A traveler's gate set at a three-way wind crossing.,,A traveler's gate set at a three-way wind crossing.,
Whale-Bone Arch,2,,Bleached relics form a gateway that neither begins nor ends.,,Bleached relics form a gateway that neither begins nor ends.,
