Friendly Name,Type,Ritual ID,Result Kind,Result ID,Discovery ID,Component1,Component2,Component3,Codex Hint 1,Codex Hint 2,Unlock text,Assets Folder,Placement Rules
Stone Seed,Seed,ritual_chi,seed,recipe_chi,recipe_chi,Chi,,,"Cold and still, the bones of the earth.","Cold and still, the bones of the earth.",A single Chi seed that blooms into stone.,,
Whistling Canyons Seed,Seed,ritual_chi_fu,seed,recipe_chi_fu,recipe_chi_fu,Chi,Fū,,Stone carved hollow by the breath of wind.,Stone surrendered to the breath of wind.,Chi and Fū carve stone into whistling canyons.,,
Badlands Seed,Seed,ritual_chi_ka,seed,recipe_chi_ka,recipe_chi_ka,Chi,Ka,,Earth baked until it cracks beneath the sun.,Earth baked dry under ancient fire.,Chi and Ka harden into sun-baked badlands.,,
Sacred Stone Seed,Seed,ritual_chi_ku,seed,recipe_chi_ku,recipe_chi_ku,Chi,Kū,,Stone made sacred by the breath of Kū.,Stone touched by Kū.,Chi and Kū combine into a seed that blooms as Sacred Stone.,,
Wetlands Seed,Seed,ritual_chi_sui,seed,recipe_chi_sui,recipe_chi_sui,Chi,Sui,,"Earth softened by patient, standing water.",Earth softened by patient water.,Chi and Sui settle into patient wetlands.,,
Meadow Seed,Seed,ritual_fu,seed,recipe_fu,recipe_fu,Fū,,,Grass that bends but does not break.,Grass that bends but does not break.,A single Fū seed that blooms into meadow.,,
Cloud Ridge Seed,Seed,ritual_fu_ku,seed,recipe_fu_ku,recipe_fu_ku,Fū,Kū,,Wind lifts the ridge where sky and void converge.,A high wind carrying Kū.,Fu and Kū become a seed that blooms as Cloud Ridge.,,
Ember Seed,Seed,ritual_ka,seed,recipe_ka,recipe_ka,Ka,,,Where heat remembers the shape of fire.,Where heat remembers the shape of fire.,A single Ka seed that blooms into ember field.,,
Ashfall Seed,Seed,ritual_ka_fu,seed,recipe_ka_fu,recipe_ka_fu,Ka,Fū,,Where wind carries the glowing bones of fire.,Where fire and wind once raced each other.,Ka and Fū scatter into the drifting Ashfall.,,
Ember Shrine Seed,Seed,ritual_ka_ku,seed,recipe_ka_ku,recipe_ka_ku,Ka,Kū,,Ember and emptiness kindle a shrine flame.,A shrine ember fed by Kū.,Ka and Kū shape a seed that blooms as Ember Shrine.,,
Kū Seed,Seed,ritual_ku,seed,recipe_ku,recipe_ku,Kū,,,Void made tangible; silence with form.,Void made tangible; silence with form.,Void made tangible; silence with form.,,
River Seed,Seed,ritual_sui,seed,recipe_sui,recipe_sui,Sui,,,It finds its own way through stone.,It finds its own way through stone.,A single Sui seed that blooms into river.,,
Frostlands Seed,Seed,ritual_sui_fu,seed,recipe_sui_fu,recipe_sui_fu,Sui,Fū,,Water frozen still by the piercing wind.,Water frozen still by the piercing wind.,"Sui and Fū lock into pale, wind-cut frostlands.",,
Prismatic Terraces Seed,Seed,ritual_sui_ka,seed,recipe_sui_ka,recipe_sui_ka,Sui,Ka,,Water that boils with the memory of fire.,Water that carries the memory of fire.,Sui and Ka rise into prismatic geothermal terraces.,,
Moonlit Pool Seed,Seed,ritual_sui_ku,seed,recipe_sui_ku,recipe_sui_ku,Sui,Kū,,Water and void veil the marsh in quiet mist.,Water and Kū reflecting silent moonlight.,Sui and Kū merge into a seed that blooms as Moonlit Pool.,,
Warm Hollow,Structure,ritual_warm_hollow,form,form_warm_hollow,disc_warm_hollow,Living Wood,Fire Essence,,Living wood remembers the shape of shelter when warmed by fire.,"Harvest Living Wood from Meadow or Cloud Ridge, then shape it with Fire Essence.",Shapes a Warm Hollow form that becomes a dwelling when placed in the right biome.,assets/structures/house,Meadow=building_meadow_dwelling; Ember Field=building_scorched_hollow; Ember Shrine=building_scorched_hollow
Reed Nest,Structure,ritual_reed_nest,form,form_reed_nest,disc_reed_nest,Reed Fiber,Water Essence,,A reed bends so another may rest.,"Harvest Reed Fiber from River, Wetlands or Moonlit Pool, then shape it with Water Essence.",Shapes a Reed Nest form that becomes a water dwelling when placed in a rain biome.,assets/structures/reed_nest,River=building_reed_nest; Wetlands=building_reed_nest; Moonlit Pool=building_reed_nest
Stone Basin,Structure,ritual_stone_basin,form,form_stone_basin,disc_stone_basin,Spirit Stone,Water Essence,,Water rests more deeply when stone agrees to hold it.,"Harvest Spirit Stone from stone biomes, then shape it with Water Essence.",Shapes a Stone Basin form that calms and anchors Rain Island water.,assets/structures/stone_basin,River=building_stone_basin; Wetlands=building_stone_basin; Moonlit Pool=building_stone_basin
