Friendly Name,Type,Ritual ID,Result Kind,Result ID,Discovery ID,Component1,Component2,Component3,Codex Hint 1,Codex Hint 2,Unlock text,Assets Folder,Placement Rules
Stone Seed,Seed,ritual_chi,seed,recipe_chi,recipe_chi,Chi,,,"Cold and still, the bones of the earth.","Cold and still, the bones of the earth.",A single Chi seed that blooms into stone.,,
Whistling Canyons Seed,Seed,ritual_chi_fu,seed,recipe_chi_fu,recipe_chi_fu,Chi,Fu,,Stone carved hollow by the breath of wind.,Stone surrendered to the breath of wind.,Chi and Fū carve stone into whistling canyons.,,
Badlands Seed,Seed,ritual_chi_ka,seed,recipe_chi_ka,recipe_chi_ka,Chi,Ka,,Earth baked until it cracks beneath the sun.,Earth baked dry under ancient fire.,Chi and Ka harden into sun-baked badlands.,,
Sacred Stone Seed,Seed,ritual_chi_ku,seed,recipe_chi_ku,recipe_chi_ku,Chi,Ku,,"Pair Chi and Kū after Mist Stag, then plant Sacred Stone on a calm water island.","Pair Chi and Kū after Mist Stag, then plant Sacred Stone on a calm water island.","Chi and Kū combine into Sacred Stone Seed for the Suijin invitation.",,
Wetlands Seed,Seed,ritual_chi_sui,seed,recipe_chi_sui,recipe_chi_sui,Chi,Sui,,"Earth softened by patient, standing water.",Earth softened by patient water.,Chi and Sui settle into patient wetlands.,,
Meadow Seed,Seed,ritual_fu,seed,recipe_fu,recipe_fu,Fu,,,"Shape Fū into Meadow Seed, then plant Meadow to grow Living Wood.","Shape Fū into Meadow Seed, then plant Meadow to grow Living Wood.","A single Fū seed that blooms into Meadow, grows Living Wood, and invites Red Fox.",,
Cloud Ridge Seed,Seed,ritual_fu_ku,seed,recipe_fu_ku,recipe_fu_ku,Fu,Ku,,Wind lifts the ridge where sky and void converge.,A high wind carrying Kū.,Fu and Kū become a seed that blooms as Cloud Ridge.,,
Ember Seed,Seed,ritual_ka,seed,recipe_ka,recipe_ka,Ka,,,Where heat remembers the shape of fire.,Where heat remembers the shape of fire.,A single Ka seed that blooms into ember field.,,
Ashfall Seed,Seed,ritual_ka_fu,seed,recipe_ka_fu,recipe_ka_fu,Ka,Fu,,Where wind carries the glowing bones of fire.,Where fire and wind once raced each other.,Ka and Fū scatter into the drifting Ashfall.,,
Ember Shrine Seed,Seed,ritual_ka_ku,seed,recipe_ka_ku,recipe_ka_ku,Ka,Ku,,Ember and emptiness kindle a shrine flame.,A shrine ember fed by Kū.,Ka and Kū shape a seed that blooms as Ember Shrine.,,
Kū Seed,Seed,ritual_ku,seed,recipe_ku,recipe_ku,Ku,,,"Plant Kū Seed as Void to split islands and open a calm-water route.","Plant Kū Seed as Void to split islands and open a calm-water route.","Void made tangible; use it to separate islands before preparing Suijin's calm-water invitation.",,
River Seed,Seed,ritual_sui,seed,recipe_sui,recipe_sui,Sui,,,It finds its own way through stone.,It finds its own way through stone.,A single Sui seed that blooms into river.,,
Frostlands Seed,Seed,ritual_sui_fu,seed,recipe_sui_fu,recipe_sui_fu,Sui,Fu,,Water frozen still by the piercing wind.,Water frozen still by the piercing wind.,"Sui and Fū lock into pale, wind-cut frostlands.",,
Prismatic Terraces Seed,Seed,ritual_sui_ka,seed,recipe_sui_ka,recipe_sui_ka,Sui,Ka,,Water that boils with the memory of fire.,Water that carries the memory of fire.,Sui and Ka rise into prismatic geothermal terraces.,,
Moonlit Pool Seed,Seed,ritual_sui_ku,seed,recipe_sui_ku,recipe_sui_ku,Sui,Ku,,Water and void veil the marsh in quiet mist.,Water and Kū reflecting silent moonlight.,Sui and Kū merge into a seed that blooms as Moonlit Pool.,,
Meadow Hollow,Structure,ritual_meadow_hollow,form,form_meadow_hollow,disc_meadow_hollow,Living Wood,Fire Essence,,Living wood warms into a soft meadow shelter.,"Harvest Living Wood, then shape it with Fire Essence.",Shapes a Meadow Hollow for meadow spirits such as Red Fox.,assets/structures/meadow_hollow,Meadow=building_meadow_dwelling
Warm Hollow,Structure,ritual_warm_hollow,form,form_warm_hollow,disc_warm_hollow,Living Wood,Fire Essence,Wind Essence,Wind moves through a warmed hollow without scattering its shelter.,"Harvest Living Wood, then shape it with Fire and Wind Essence.",Shapes a Warm Hollow wind dwelling for Cloud Ridge spirits.,assets/structures/warm_hollow,Cloud Ridge=building_wind_hollow
Stone Hollow,Structure,ritual_stone_hollow,form,form_stone_hollow,disc_stone_hollow,Spirit Stone,Earth Essence,Living Wood,Stone steadies the shelter while living wood makes it kind.,"Harvest Spirit Stone and Living Wood, then shape them with Earth Essence.",Shapes a Stone Hollow for stone spirits.,assets/structures/stone_hollow,Stone=building_stone_hollow; Sacred Stone=building_stone_hollow
Scorched Hollow,Structure,ritual_scorched_hollow,form,form_scorched_hollow,disc_scorched_hollow,Ember Clay,Fire Essence,Living Wood,Clay and living wood learn to hold flame without burning away.,"Harvest Ember Clay and Living Wood, then shape them with Fire Essence.",Shapes a Scorched Hollow for fire spirits.,assets/structures/scorched_hollow,Ember Field=building_scorched_hollow; Ember Shrine=building_scorched_hollow; The Ashfall=building_scorched_hollow
Fox Den,Structure,ritual_fox_den,form,form_fox_den,disc_fox_den,Living Wood,Red Fox,,The fox curls fire into living wood until shelter learns its name.,"Invite Red Fox, then shape Living Wood with the fox's fire-aspect presence. Red Fox only supplies fire intent for this Fox Den ritual.",Shapes a Fox Den form that becomes an upgraded Red Fox dwelling on Meadow or Badlands.,assets/structures/fox_den,Meadow=building_fox_den; Badlands=building_fox_den
Dew Bowl,Structure,ritual_dew_bowl,form,form_dew_bowl,disc_dew_bowl,Living Wood,Water Essence,,A bowl of dew teaches the wind where to rest.,"Harvest Living Wood, then shape it with Water Essence.",Shapes a Dew Bowl that increases early Living Wood storage.,assets/structures/dew_bowl,Meadow=building_dew_bowl; Cloud Ridge=building_dew_bowl
Root Network,Structure,ritual_root_network,form,form_root_network,disc_root_network,Living Wood,Earth Essence,,Roots do not hurry by running. They hurry by already being there.,"Harvest Living Wood, then shape it with Earth Essence.",Shapes a Root Network that speeds nearby Meadow material growth.,assets/structures/root_network,Meadow=building_root_network; Cloud Ridge=building_root_network
Wind Chime,Structure,ritual_wind_chime,form,form_wind_chime,disc_wind_chime,Living Wood,Wind Essence,,The meadow has a voice only wind can teach it.,"Harvest Living Wood, then shape it with Wind Essence.",Shapes a Wind Chime that can auto-harvest nearby Living Wood.,assets/structures/wind_chime,Meadow=building_wind_chime; Cloud Ridge=building_wind_chime
