Friendly Name,Min Satori Required,Preferred Biome,Codex Hint 1,Codex Hint 2
Blue Kingfisher,0,River,Blue flash born where forest drinks of water…,
Boreal Wolf,0,Frostlands,Ten frost-bitten borders mark the wolf’s range…,
Dragonfly,0,River; Meadow; Wetlands,Jewelled wings rest where earth embraces water…,
Emerald Snake,0,Stone,Seven emerald links stretch without bending…,
Field Mouse,0,Stone; River; Meadow; Wetlands,One small heart touching three great kingdoms…,
Frost Owl,0,Frostlands; Stone,The boreal night hosts a pale watcher…,
Fūjin,1500,Cloud Ridge,A wind kami circles the heights of Cloud Ridge.,"A deity of wind associated with swift currents, storms, and the breadth of open sky."
Golden Bee,0,Meadow; Whistling Canyons,Ten golden fields hum with ancient sweetness…,
Granite Ram,0,Ember Field,Twenty stones rise in unbroken granite majesty…,
Hare,0,Meadow; Stone,Four meadow steps taken in a single breath…,
Ice Cavern Bat,0,Frostlands; Stone,"Sealed within the stone-water dark, wings wait…",
Jade Beetle,0,Stone; Meadow,Fifteen woven greens call forth the jewelled back…,
Kagutsuchi,1500,Ember Shrine,A fire kami keeps vigil where Ember Shrine glows.,"A deity of fire whose presence is tied to sacred flame, transformation, and the awe of heat."
Koi Fish,0,River,Four pure waters form a perfect jewel…,
Marsh Frog,0,Wetlands; River,Seven murky strides mark the low country path…,
Meadow Lark,0,Meadow,The verdant valley blooms to welcome the singer…,
Mist Stag,500,Meadow; Wetlands,The ancient stand holds a secret hoofprint…,
Mountain Goat,0,Stone; Whistling Canyons,Hooves ring against the ancient mountain’s face…,
Mud Crab,0,Wetlands; River,Ancient reef draws the shore-walker home…,
Murk Crocodile,0,Wetlands; River,The murk surrounds the still eye of water…,
Owl of Silence,0,Stone; Ember Field; Prismatic Terraces,Where stone meets leaf in sacred silence…,
Ōyamatsumi,1500,Sacred Stone,A mountain kami watches where Sacred Stone gathers.,A revered mountain deity associated with enduring peaks and sacred stone places.
Peat Salamander,0,Wetlands; River,The dark heart of the bog holds a secret…,
Red Fox,0,Meadow; Badlands,"Three forest corners, a triangle of green…",
River Otter,0,River; Wetlands,The long winding river remembers every curve…,
Rock Badger,0,Ember Field; Prismatic Terraces; The Ashfall,A stubborn presence at the garden’s outermost edge…,
Sky Whale,5000,Stone; River; Ember Field; Meadow; Wetlands; Badlands; Whistling Canyons; Prismatic Terraces; Frostlands; The Ashfall,"A thousand tiles, perfectly balanced, call to the sky…",
Stone Golem,0,Stone,"Nine stones locked together, a fortress of will…",
Rain Kami Suijin,500,River; Moonlit Pool,A reed nest rests where second-island rain gathers.,A water kami drawn by a Reed Nest and a gathered rain cluster. This first Rain path stays shrine-focused and does not require spirit assistants.
Sun Lizard,0,Ember Field; Badlands; The Ashfall,The basking warmth of four earthen companions…,
Swamp Crane,0,Wetlands; River; Stone,"Reed, river, and forest weave a crane’s sanctuary…",
Tree Frog,0,Stone; River; Wetlands,Green toes dip where two worlds meet…,
Tundra Lynx,0,Frostlands; River,River and tundra cross—the lynx pauses…,
White Heron,0,River; Wetlands,Five still mirrors in a line await the dancer…,
